Row ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Order ID,Customer Name,Customer Segment,Province,Region,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Returns
1,13/10/2010,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,3,Muhammed MacIntyre,Small Business,Nunavut,Nunavut,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,20/10/2010,Sold
49,01/10/2012,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,293,Barry French,Consumer,Nunavut,Nunavut,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,02/10/2012,Sold
50,01/10/2012,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,293,Barry French,Consumer,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,03/10/2012,Sold
80,10/07/2011,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,483,Clay Rozendal,Corporate,Nunavut,Nunavut,Technology,Telephones and Communication,R380,Small Box,0.58,12/07/2011,Sold
85,28/08/2010,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,515,Carlos Soltero,Consumer,Nunavut,Nunavut,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,30/08/2010,Sold
86,28/08/2010,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,515,Carlos Soltero,Consumer,Nunavut,Nunavut,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,30/08/2010,Sold
97,17/06/2011,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,613,Carl Jackson,Corporate,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,17/06/2011,Sold
98,17/06/2011,High,22,905.08,0.09,Regular Air,127.70,42.76,6.22,613,Carl Jackson,Corporate,Nunavut,Nunavut,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,18/06/2011,Sold
103,24/03/2011,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,643,Monica Federle,Corporate,Nunavut,Nunavut,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,25/03/2011,Sold
107,26/02/2010,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,678,Dorothy Badders,Home Office,Nunavut,Nunavut,Office Supplies,Paper,Xerox 198,Small Box,0.38,26/02/2010,Returned
